City,Place,Ratings,Distance,Place_desc 
Delhi,Red Fort,4.4, 3 km  from city center ," The Red Fort is a historical fort in the old Delhi area, on the banks of Yamuna"
Delhi,Rashtrapati Bhavan,4.4, 6 km  from city center , Rashtrapati Bhawan is a famous monument of the British Empire which was said to be the palace of the Viceroy of India
Delhi,"Jama Masjid, Delhi",4.4, 2 km  from city center , Jama Masjid is the largest mosque in India built by Mughal Emperor Shah Jahan
Delhi,Morning walk near India Gate,4.3, 7 km  from city center ," India Gate is a war memorial located in New Delhi, along the Rajpath"
Delhi,Clubbing in Hauz Khas Village,4.3, 13 km  from city center ," An affluent neighbourhood in South Delhi, Hauz Khas Village or 'HKV' is known for its electric nightlife with countless cafes, bars and pubs along with art galleries, and boutiques and is amongst the top hip places to visit in Delhi other than a heritage site"
Delhi,Shop at Chandni Chowk,4.3, 2 km  from city center ," One of the oldest markets in Old Delhi, Chandni Chowk is still an important historical site renowned for the availability of every kind of goods as well as food"
Delhi,Jantar Mantar,4.3, 4 km  from city center ," Located in New Delhi, the Jantar Mantar was one of the five sites built by Maharaja Jai Singh II of Jaipur"
Delhi,Tour the National Zoological Park,4.3, 8 km  from city center ," Also known as Chidiya Ghar, Delhi Zoo is a favourite weekend spot among adults and children"
Delhi,Party at the Connaught Place,4.3, 4 km  from city center ," Officially named Rajiv Chowk, Connaught Place is better known as CP amongst the locals"
Delhi,Swaminarayan Akshardham Temple,4.2, 8 km  from city center ," The Akshardham Temple, also known as Swaminarayan Akshardham is dedicated to Lord Swaminarayan"
Delhi,Kingdom of Dreams,4, 26 km  from city center ," The Kingdom of Dreams, also known as KOD sits majestically in Gurugram (Previously Gurgaon) and is India's first live entertainment, leisure and theatre destination"
Delhi,Gurudwara Bangla Sahib,3.9, 5 km  from city center ," Gurudwara Bangla Sahib is one of the most important Sikh gurdwara, aka Sikh house of worship, in Delhi, India and known for its association with the eighth Sikh Guru, Guru Har Krishan, as well as the pool inside its complex, known as the 'Sarovar"
Delhi,Agrasen ki Baoli,3.8, 5 km  from city center ," A protected monument under the Archaeological Survey of India, Agrasen ki Baoli is a 60 meter long and 15 meter wide historical step well on Halley Road, New Delhi"
Delhi,Lodhi Garden,3.8, 8 km  from city center ," Lodhi Gardens is a city park placed in New Delhi, spanning over 90 acres"
Delhi,Nizamuddin Dargah,3.8, 9 km  from city center , This is the holy shrine of Muslim Sufi Saint Nizamuddin Chisti
Delhi,Mehrauli Archaeological Park,3.8, 16 km  from city center ," The Mehrauli Archaeological Park is a 200-acre archaeological site home to more than 100 magnificent monuments, and tombs from the 10th century to the British era"
Delhi,ISKCON (Hare Krishna) Temple,3.8, 13 km  from city center ," This temple was opened back in 1998; it is located at Hare Krishna Hills, in the East of Kailash area of New Delhi, India"
Delhi,Savour the food of Khan Market,3.8, 7 km  from city center , Khan Market is one of the hot spot and posh market in Delhi which serves as a perfect place for friends and family to hangout
Delhi,Stroll through Pragati Maidan,3.8, 7 km  from city center ," Pragati Maidan, situated at Mathura Road, is a vast exhibition center of Delhi"
Delhi,Rajghat,3.8, 5 km  from city center ," Rajghat is a place where Mahatma Gandhi, Father of the Nation was cremated followed by his assassination in year 1948"
Delhi,Rajpath,3.8, 6 km  from city center ," Running from Rashtrapati Bhavan on Raisina Hill, all the way through Vijay Chowk and India Gate to the National Stadium, Rajpath is a long ceremonial boulevard in New Delhi"
Delhi,Qutub Minar,3.7, 16 km  from city center ," Qutub Minar is a minaret or a victory tower located in the Qutub complex, a UNESCO World Heritage Site in Delhi's Mehrauli area"
Delhi,Roam around the Shopping Markets,3.6, 2 km  from city center , Delhi is known to be shoppers' paradise
Delhi,Kuchesar,3.5, 69 km  from city center ," Kuchesar is a tiny village in Bulandshahr district of Uttar Pradesh, at a distance of 80 km from Delhi and is popular for its Mud Fort, now restored as a heritage resort"
Delhi,Teen Murti Bhavan (Nehru House) and Nehru Planetarium,3.3, 7 km  from city center , Once served as the home of Pt
Delhi,National Gallery Of Modern Art,3, 7 km  from city center ," Following its motto of delivering an excellent world of art to its visitors, National Gallery of Modern Art, Delhi, preserves paintings and other artistic pieces dating back to 1850s"
Delhi,Garden of Five Senses,3, 17 km  from city center ," Located in the poised Said-ul-Ajaib, the Garden of Five Senses is designed to stimulate your senses of touch, sight, smell, sound and taste and is a paradise for natureâs lovers"
Delhi,Shop & Eat at Dilli Haat,3, 10 km  from city center ," Designed to invoke the ambience of a traditional village fair, Dilli Haat is every shopperâs paradise, a foodieâs haven and the cultural magnet of the metro city"
Delhi,Rail Museum,3, 10 km  from city center ," Located in the vicinity of Chanakyapuri, the Rail Museum aims to preserve the 163 years old railway heritage of India"
Delhi,Mughal Gardens,3, 6 km  from city center ," Popularly known as the âsoulâ of the Presidential Palace, the Mughal Gardens are located inside the Rashtrapati Bhawan Complex"
Delhi,Pick the Trends at Sarojini Market,3, 10 km  from city center ," Vibrantly coloured clothes strewn all over, tiny food stalls cramped in every nook, deafening cacophony of the salesboys and a pandemic compact environment- welcome to Sarojini Nagar, the most hep and trendy market of Delhi"
Delhi,A Different World in Paharganj,3, 2 km  from city center ," Replete with travellers, both Indians and foreign, Paharganj is the most chaotic, noisy, dirty and yet the most vibrant market of Delhi"
Delhi,Enjoy the Colours of Lajpat Nagar,3, 11 km  from city center , Lajpat Nagar is a bustling and colourful neighbourhood in South Delhi which is best known for the Lajpat Nagar Central Market where many come to experience the thrill of the genuine Delhi life
Delhi,Safdarjung Tomb,3, 9 km  from city center ," Built in 1754, during the reign of Mughal Emperor- Ahmad Shah Bahadur, the namesake tomb is dedicated to the Prime Minister of the court- Safdarjung"
Delhi,Admire the architecture of Purana Qila,3, 7 km  from city center ," Stoically standing in the placid vicinity of Indraprastha, Purana Qila or the Old Fort is a masterpiece of the ancient glory and sterling architecture of the bygone Mughal Empire, and is one of the oldest forts in Delhi"
Delhi,National Museum,3, 6 km  from city center ," Also known as the National Museum of India, the National Museum in New Delhi is one the largest museums in India, situated on the corner of the Janpath and Maulana Azad Road"
Delhi,Tughlaqabad Fort,3, 17 km  from city center , Tughlaqabad Fort is one of the finest specimens of pure Islamic architecture and has the touch of Sultanate sturdiness about its fortifications
Delhi,Museum of Illusions,3.6, 4 km  from city center ," The Museum of Illusions in Connaught Place, New Delhi is India's first optical illusion museum"
Delhi,Sunder Nursery,3.6, 8 km  from city center ," Sunder Nursery (also known as Central Park) is a park complex situated adjacent to Humayun's Tomb, Built in the 16th century, the park was originally known as Azim Bagh"
Delhi,Waste to Wonder Park,3.6, 9 km  from city center , Waste to Wonder Park is one of its kind theme park in the world
Delhi,Bharat Darshan Park,3.6, 8 km  from city center ," The Bharat Darshan Park in Punjabi Bagh, Delhi has replicas of popular Indian monuments made out of waste material"
Delhi,Pradhanmantri Sangrahalaya,3.6, 8 km  from city center , The Prime Ministersâ Museum or the Pradhanmantri Sangrahalaya was inaugurated by Prime Minister Narendra Modi on 14th April 2022
Delhi,Birla Mandir Delhi,3.6, 4 km  from city center , The Birla Mandir or Birla Temple popularly known as the Laxminarayan Temple is a temple dedicated to Laxminarayan
Delhi,Adventure Island,3.6, 12 km  from city center ," Probably the most famous of all adventure parks in Delhi NCR, Adventure Island is a one-stop haunt for all the dose of thrill and enjoyment"
Delhi,Crafts Museum,3.6, 6 km  from city center ," Popularly known as the Crafts Museum, the National Handicrafts Museum is a colorful amalgamation of the diverse culture and rich traditions of our country"
Delhi,Quwwat-ul-Islam Mosque,3.6, 16 km  from city center ," Located within the Qutub Minar complex at Mehrauli in Delhi, Quwwat-ul-Islam Mosque (translating to âMight of Islamâ) was built by the Mamluk ruler Qutub-ud-din Aibak"
Delhi,Sulabh International Museum of Toilets,3.6, 15 km  from city center , Sulabh International Museum of Toilets was built in 1992 by Dr
Delhi,Nicholson Cemetery,3.6, 1 km  from city center ," Situated in the heart of the city in Kashmere Gate area of New Delhi, Nicholson Cemetery (also known as Lothian Cemetery) is an ancient Christian cemetery named after the Brigadier-General John Nicholson, a Victorian era military officer who played a crucial role during the Indian Rebellion of 1857"
Delhi,Iron Pillar,3.6, 16 km  from city center , Iron Pillar is one of the many mysterious monuments of wonder present in Delhi- the capital of India
Delhi,Nehru Memorial Museum and Library,3.6, 7 km  from city center ," Housed within the premises of the grand Teen Murti Bhavan in Delhi, Nehru Memorial Museum and Library is an autonomous institution established in the memory of the first Prime Minister of India- Pandit Jawaharlal Nehru"
Dharamshala,Dharamshala Cricket Stadium,4.3, 0 km  from city center ," Nestled in the lap of the majestic Himalayan mountain range lies the quaint Dharamshala Cricket Stadium, also known as the Himachal Pradesh Cricket Association (HPCA) Stadium"
Dharamshala,St. John in the Wilderness Church,3.9, 2 km  from city center , This neo-gothic church was built in 1852 and is one of the most important churches in Himachal Pradesh
Dharamshala,War Memorial,3.5, 2 km  from city center , The War Memorial in the forests of Dharamshala was created to commemorate the memory of those who fought to save our motherland
Dharamshala,"Namgyal Monastery, Mcleodganj",3.2, 3 km  from city center ," Overlooking the mountain ranges of Dhauladhar, the Namgyal Monastery is situated within the Tsuglagkhang complex"
Dharamshala,Triund,3.2, 6 km  from city center , Triund is a 9-km trek away from Mcleodganj
Dharamshala,Gyuto Monastery,3.2, 5 km  from city center ," Popularly known for the study of Tantric Meditation and Philosophy, the Gyuto Monastery is one of the beautiful and popular monasteries located in Dharamshala"
Dharamshala,Bhagsu nath temple,3.2, 3 km  from city center , This temple is located at a height of 1770 m above sea level
Dharamshala,Dal lake and Nadi,3.2, 3 km  from city center , Dal lake is located 11 km away from lower Dharamsala and lies in between hills and deodar trees
Dharamshala,"Tibet museum, Mcleodganj",3.2, 2 km  from city center ," This museum is located inside the Tsuglagkhang complex and has a collection of brilliant forms of Tibetan Art, which include history documents, pottery, handicrafts, paintings etc"
Dharamshala,Bhagsu falls,3.2, 5 km  from city center , The Bhagsu Falls are situated 2 km away from McLeodganj
Dharamshala,Tea gardens,3.2, 2 km  from city center ," The smallest tea region of India, Dharamshala has beautifully lined and organized tea gardens across the Kangra Valley"
Dharamshala,Trekking,3.2, 3 km  from city center ," There are different ventures or institutes which organizes treks here, you will be accompanied with well experienced guides and trekking experts"
Dharamshala,Jwalamukhi Devi Temple,3.2, 38 km  from city center ," Located in the Kangra district of Himachal Pradesh, Jwala Devi Temple is dedicated to Jwala Ji - a Hindu Goddess depicted by a set of eternal flames"
Dharamshala,"Tsuglagkhang, Mcleodganj",3.2, 2 km  from city center , This is the place where the Dalai Lama resides
Dharamshala,Kangra art museum,3.2, 3 km  from city center , The Kangra Museum is dedicated to the brilliant marvels of Tibetan and Buddhist artwork and their rich history
Dharamshala,Library of Tibetan Works and Archives,3.6, 1 km  from city center ," With artifacts and manuscripts that date back to the 12th century, the Library of Tibetan Works and Archives is one the pioneering institutions in the study and research of Buddhism"
Dharamshala,Dharamshala to Mcleodganj Ropeway,3.6, 58 km  from city center ," The ropeway between Dharamshala and Mcleodganj, called the Dharamshala Skyway, is a 1"
Dharamshala,Dalai Lama Temple Complex,3.6, 1 km  from city center ,"  The Dalai Lama Temple, also known as Tsuglakhang Temple, is a politico-religious centre in Dharamsala located close to the home of the Dalai Lama"
Dharamshala,Kalachakra Temple,3.6, 2 km  from city center ," Located inside the Thekchen ChÃ¶ling temple complex in Mcleodganj near Dharamsala, Kalachakra Temple is a popular Tibetan temple"
Dharamshala,Masroor Rock Cut Temple,3.6, 24 km  from city center ," Situated 32 kms from Kangra in Dharamsala on the Nagrota- Surian Link Road, Masroor Rock Cut Temple is an archaeological site which is currently in ruins"
Dharamshala,Aghanjar Mahadev Temple,3.6, 5 km  from city center ," Located 5 kms away from the town of Dharamsala in Khaniyara, at the foothills of Dhauladhar, Aghanjar Mahadev Temple is dedicated to Lord Shiva"
Dharamshala,Dharamshala International Film Festival,3.6, 21 out of 36  places to visit in Dharamshala ," One of the leading independent film festivals of the county is the Dharamshala Film Festival, held every year in November"
Dharamshala,Dharamkot Studio,3.6, 3 km  from city center ," A small rustic space located in the village of Dharamkot about 2km from Mcleodganj, Dharamkot Studio is a hidden gem where people can take pottery lessons"
Dharamshala,Mcleodganj Market,3.6, 3 km  from city center ," McLeodganj is famous for its culture, crafts, etc"
Dharamshala,Naam Art Gallery,3.6, 0 km  from city center ," Located in Dharamshala near Mcleodganj, Naam Art Gallery is often visited by people interested in the art"
Dharamshala,Norbulingka Institute,3.6, 2 km  from city center ," Named after the summer residence of The Dalai Lama at Lhasa, the Norbulingka Institute is a popular learning centre that is located 7"
Dharamshala,Paragliding in Dharamshala,3.6, 3 km  from city center ," With no shortage of hilly terrain in Dharamshala, Himachal Pradesh, paragliding has become a significant adventure sport in the area"
Dharamshala,Nechung Monastery,3.6, 1 km  from city center ," Part of the Tsuglagkhang Complex, Nechung Monastery is one of the most popular attractions in Dharamshala and is of extreme importance in Tibetan and Buddhist culture"
Dharamshala,Namgyalma Stupa,3.6, 1 km  from city center ," Situated in the village of Upari Barol, the Namgyalma Stupa is a dome-shaped structure modelled after stupas constructed in the 3rd century BC during the rule of King Ashoka"
Dharamshala,Indrahar Pass Trek,3.6, 10 km  from city center ," The trek to Indrahar Pass is a fairly easy one, being the most picturesque trail starting from Mcleodganj, covering Lahesh and Triund Caves, and lasts about 14 km single way"
Dharamshala,Pong Dam,3.6, 37 km  from city center ," Built on the Beas River in Kangra District of Himachal Pradesh, Pong Dam Lake is an earthfill reservoir constructed for generating hydroelectricity and for irrigation purposes"
Dharamshala,Nandi View Point,3.6, 4 km  from city center ," Located in Mcleodganjâs Naddi Village, Naddi View Point is the perfect location for catching a glimpse of the spectacular Dhauladhar ranges, especially during the winters when the peaks are covered in snow"
Dharamshala,Laka Glacier Trek,3.6, 33 out of 36  places to visit in Dharamshala ," The Laka Glacier Trek or the Snow Line Trek is a 3-day beginner-friendly trek set in the Kangra Valley that takes trekkers up to 10,600 feet"
Dharamshala,Lahesh Cave Trek,3.6, 3 km  from city center ," The Lahesh Cave Trek is a popular trek in Himachal Pradesh that is set in the Dhauladhar ranges, taking trekkers up to an altitude of 3,500 m above sea level, following a trail of 12km"
Dharamshala,View of the Dhauladhar Ranges,3.6, 2 km  from city center ," The Dhauladhar ranges, part of the lesser Himalayan mountains, rise to an altitude of 3,500 m to 6,000 m above sea level and provide marvellous scenic views, especially when snow-clad"
Dharamshala,Guna Devi Temple,3.6, 6 km  from city center ," Set amidst oak and deodar forests in the Kangra district of Himachal Pradesh, Guna Devi Temple is a Hindu temple dedicated to the Goddess Kali"
Digha,Amarabati Park,3.7, 2 km  from city center ," With neatly paved walkways, a multitude of seating areas, verdant surroundings, a gorgeous ropeway ride and boating facilities to enjoy its own mini-lake, the Amarabati park provides wholesome family fun for children and adults looking for a relaxed manner of killing some time during their vacation in the beautiful Digha"
Digha,New Digha Beach,3.6, 2 km  from city center ," This one is a man-made beach, created 2 km away from the old one"
Digha,Shankarpur Beach,3.6, 5 km  from city center ," 15 km from Digha, Shankarpur is a virgin beach with a lovely view of the beach surrounded by local fish boats and rows of tress giving visitors the perfect Kodak moment"
Digha,Marine Station/Aquarium of Zoological Survey of India,3.5, 2 km  from city center , MARC - Marine aquarium cum regional centre - is a major tourist attraction for all Digha visitors
Digha,Udaipur Beach,3.5, 5 km  from city center ," If you're looking for a more laidback and tranquil beach atmosphere, Udaipur beach is the right place to visit"
Digha,Talsari Beach,3.2, 7 km  from city center ," Lined with coconut and palm trees all along, Talasari beach is famous among sea food lovers for the delicacies it offers"
Digha,Temple at Chandaneswar,3.2, 7 km  from city center ," Situated at a distance of 6-8 km from Digha, Chandaneswar Shiv temple has mythology and folklore depicting its creation and history"
Digha,Old Digha Beach,3.6, 1 km  from city center , Old Digha Beach is one of the less popular beaches in Digha and experiences relatively less tourism
Digha,Chandpur Beach,3.6, 8 km  from city center ," Flanked on the coast of the Bay of Bengal, Chandpur Beach is one of the less popular and less crowded beaches near Kolkata"
Gangtok,Rumtek Monastery,4.4, 7 km  from city center , This Monastery is situated 24 km from Gangtok and is considered to be of the most sacred monasteries in Buddhism
Gangtok,MG Road,4.3, 2 km  from city center , MG Road is the heart of Gangtok and its most happening place
Gangtok,Namgyal Institute of Tibetology,4.3, 1 km  from city center ," The museum, housed in a traditional Tibetan-style mansion, boasts a jaw-dropping collection of artefacts related to Vajrayana Buddhism and the Tibetan culture"
Gangtok,Nathu La Pass,4.2, 23 km  from city center , This is a pass which connects Tibet with Sikkim at a height of 4310 m
Gangtok,Kanchenjunga,3.7, 58 km  from city center ," The third highest peak in the world, the majestic Kanchenjunga is one of the most stunning mountains in the world"
Gangtok,Tsomgo Lake,3.6, 16 km  from city center , The Tsongmo Lake is situated 35 km away from the main town of Gangtok
Gangtok,Ganesh Tok,3.6, 1 km  from city center , Ganesh Tok is a Ganesh Temple located 7 km from Gangtok at an altitude of 6500 m
Gangtok,Mangan,3.5, 14 km  from city center ," The town of Mangan, situated in the northern part of Sikkim is a major tourist attraction for trekking, monasteries and its Yumthang Valley"
Gangtok,Tinkitam,3.5, 29 km  from city center ," Tinkitam Rayong is a petite village in Sikip Tehsil in South District of Sikkim State with Mount Kanchenjanga in the backdrop of this town and its natural habitat supporting a rare species of orchid, Paphiopedilum Faireanum or ladys slipper"
Gangtok,Do Drul Chorten,3.3, 3 km  from city center ," One of the most important stupas in Sikkim, Do Drul Chorten was built in the year 1945 under the supervision of late Truslshi and Rimpoche"
Gangtok,Baba Mandir,3.6, 1 km  from city center ," Situated on the road passing between Nathula and Jelepla Pass, Baba Mandir is the shrine which was built at the Samadhi of Baba Harbhajan Singh"
Gangtok,Himalayan Zoological Park,3.6, 3 km  from city center ," Himalayan Zoological Park is located in Bulbuley, 3 km away from Gangtok and is definitely the place for all the wildlife lovers"
Gangtok,Reshi Hot Springs,3.6, 0 km  from city center ," Sikkim has numerous hot springs, but the Reshi Hot Spring is the most famous one due to its strategic location and the religious significance that it holds"
Gangtok,Kabi Longstok,3.6, 5 km  from city center , Situated at a distance of 17 km from the northern capital of Gangtok is the Kabi Town which is considered to be a historical place due to the initiation of the Sikkimese history here in the early 13th century
Gangtok,Seven Sisters Waterfalls,3.6, 11 km  from city center ," Justifying its name, Seven Sisters Waterfalls comprises of seven different waterfalls amicably arranged side by side on a wide rugged cliff which seems distinct when looked at from a distance"
Gangtok,Flower Exhibition Centre,3.6, 1 km  from city center , Flower Exhibition Centre showcases flowers from the different parts of Sikkim together under a single roof which makes it a heaven for all the nature lovers
Gangtok,Saramsa Garden,3.6, 7 km  from city center ," Saramsa Garden, also known as Ipecac Garden, is indeed a treat for your senses"
Gangtok,Hanuman Tok,3.6, 2 km  from city center , Hanuman Tok is a very famous temple of Gangtok which is named after Lord Hanuman and is a maintained by the Indian Army
Gangtok,Paragliding,3.6, 19 out of 33  places to visit in Gangtok , Paragliding is one of the thrilling things to do in Gangtok and one activity that you must definitely experience
Gangtok,Tashi View Point,3.6, 4 km  from city center ," Situated 8 km away from the main town of Gangtok, Tashi Viewpoint is a scenic beauty from where travellers can get a view of the magnificent Mount Sinilochu and Mount Kanchenjunga"
Gangtok,Tsuk La Khang Monastery,3.6, 0 km  from city center ," Situated in the complex of the Royal Palace, Tsuk La Khang is the prime place of worship for the local Buddhists residing in the region"
Gangtok,Shingba Rhododendron Sanctuary,3.6, 0 km  from city center ," Nestled in the exquisite Yumthang Valley in North Sikkim, the Shingba Rhododendron Sanctuary is a beautiful place to spend time amidst the picturesque location and natural beauty all around"
Gangtok,Banjhakri Falls,3.6, 1 km  from city center ," A new sightseeing destination for the tourists and spread over an area of two acres of land, the Banjhakri Falls is situated at a distance of 10-12 kilometres from Gangtok"
Gangtok,Ranka Monastery,3.6, 2 km  from city center ," Also known as Lingdum Monastery, the Ranka Monastery which follows the Zurmang Kagyud lineage of Buddhism is situated at a distance of 20 km from Gangtok"
Gangtok,Enchey Monastery,3.6, 1 km  from city center , Enchey Monastery meaning 'the solitary temple' is a holy pilgrimage spot for the Buddhists situated in a magical wonderland surrounded by natural beauty
Gangtok,Saga Dawa,3.6, 26 out of 33  places to visit in Gangtok , The Saga Dawa festival is one of the most important festivals for the people of Sikkim celebrated with much enthusiasm in the capital city Gangtok
Gangtok,International Flower Festival in Gangtok,3.6, 27 out of 33  places to visit in Gangtok , The International Flower Show is held in Gangtok every year
Gangtok,Gangtok Ropeway,3.6, 57 km  from city center ," Known to be one of the top thrilling things to do in Gangtok, Gangtok Ropeway breathtaking birdâs eye view of the valley below"
Gangtok,Yak Safari,3.6, 29 out of 33  places to visit in Gangtok , Experiencing Yak Ride is one of the most essential activities and unique things to do in Gangtok
Gangtok,Mountain Biking in Gangtok,3.6, 30 out of 33  places to visit in Gangtok , Another one of the thrilling activities and things to do in Gangtok is riding a mountain bike in the hills and valleys
Gangtok,9âine Native Cuisine,3.6, 2 km  from city center ," 9âine Native Cuisine is a dainty cafe located in the suburbs of Gangtok catering to Asian, Tibetan and Nepalese cuisines"
Gangtok,Baker's Cafe,3.6, 1 km  from city center , Baker's Cafe is one of the most popular and picturesque cafe in Gangtok
Gangtok,Phodong Monastery,3.6, 9 km  from city center ," Located in Phodong near Gangtok in Sikkim, Phodong Monastery is one amongst the six most important Buddhist monasteries in the state"
Goa,Go Clubbing by the Baga Beach,4.5, 10 km  from city center ," One of the most popular beaches in North Goa, Baga Beach is located close to Calangute beach, around 30 Km North of Panjim"
Goa,Fun time in Calangute Beach,4.4, 10 km  from city center , Calangute is the largest beach in north Goa stretching from Candolim to Baga
Goa,Fort Aguada,4.4, 6 km  from city center , Fort Aguada is a 17th-century Portuguese fort looking out at the confluence of Mandovi River and the Arabian Sea
Goa,Water Sports in Goa,4.4, 26 km  from city center ," Goa is a haven for water sports likeÂ kneeboarding, kite surfing, snorkelling, parasailing, paragliding, diving, and kayaking"
Goa,Adventures of Anjuna Beach,4.4, 13 km  from city center ," Anjuna Beach is among the most popular beaches in North Goa, stretching almost 2km"
Goa,Explore Dona Paula,4.4, 5 km  from city center , Dona Paula is one of the most popular tourist hangouts in Goa famous for its vast stretch of beach
Goa,Arambol Beach,4.4, 25 km  from city center ," Beautiful and serene, Arambol Beach is among the best beaches of North Goa and is relatively unexploited by tourist activities"
Goa,Relax at the Palolem beach,4.4, 58 km  from city center ," Palolem Beach, located in the South Goa is one of the most beautiful beaches of the Union Territory has to offer"
Goa,Colva Beach,4.4, 26 km  from city center ," One of the most happening beaches in South Goa, Colva beach is mainly renowned for its shopping and phenomenal nightlife"
Goa,Agonda Beach,4.4, 53 km  from city center ," If you're looking for a place away from the hustle bustle of the crowd with more space and solitude, Agonda beach is the right place for you"
Goa,Dine on a Cruise,4.3, 1 km  from city center ," Cruise in Goa allows one to explore the exotic scenery, pristine waters and marvel the breathtaking view of the sunset"
Goa,Behold to Dudhsagar Waterfalls,4.3, 52 km  from city center ," One of India's tallest waterfalls, the Dudhsagar Falls is located inside the Mollem National Park"
Goa,Basilica of Bom Jesus,4.3, 9 km  from city center , The Basilica of Bom Jesus Church is a UNESCO World Heritage Site
Goa,Scuba Diving in Goa,4.3, 14 km  from city center , Goa is one of the few places in India offering scuba diving
Goa,Vagator Beach,4.3, 15 km  from city center , Vagator beach is one of the most beautiful beaches in Goa
Goa,Morjim Beach,4.3, 18 km  from city center ," Morjim is sometimes referred to as ""Little Russia"" owing to the large population of Russian immigrants staying here"
Goa,Butterfly Beach,3.9, 56 km  from city center , A little to the south of Palolem in Canacona region of Goa lies the Butterfly Beach
Goa,Patnem Beach,3.9, 60 km  from city center ," Situated in Canacona, South Goa, Patnem Beach is one of the most secluded and tranquil beaches of Goa"
Goa,Chapora Fort,3.7, 16 km  from city center , Chapora Fort is undeniably one of the most famous forts in Goa
Goa,Go Shopping in Goa,3.7, 2 km  from city center ," For carrying back an authentic Goan experience with you, you can buy some feni, cashew-nuts, Goan hats and handicrafts"
Goa,Church of Our Lady of the Immaculate Conception,3.7, 0 km  from city center ," Located in Panjim, Our Lady of Immaculate Conception is one of the oldest chapels in Goa"
Goa,"Mambos, Calangute",3.7, 10 km  from city center ," Located in the famous Titos lane, Mambos is a popular nightclub in Goa"
Goa,"Club LPK - Love Passion Karma, Candolim",3.7, 5 km  from city center , Club LPK is one of the most popular nightlife spots in Goa
Goa,Rejuvenate by Spas and Massages,3.7, 8 km  from city center , Goa is full of spa resorts and Ayurvedic massage centers
Goa,Casino,3.6, 0 km  from city center ," Located on a yacht in River Mandovi, the casino is one of the coolest places to be when you're in the party state"
Goa,"Party at the Tito's, Calangute",3.5, 10 km  from city center , Titos nightclub is one of the top things to do in Goa for most tourists
Goa,Church of St. Cajetan,3.4, 9 km  from city center ," The Church of Saint Cajetan, located in Old Goa close to the Se Cathedral, is one of the most beautiful churches in Goa"
Goa,Bambolim Beach,3.4, 6 km  from city center ," Bambolim Beach is a pristine beach located in Bambolim in North Goa, 7 kilometres away from Panjim"
Goa,Church of St Francis of Assisi,3.4, 9 km  from city center , Church of St Francis of Assisi is a 16th-century Portuguese church located near Se Cathedral in Goa
Goa,Cabo de Rama Beach,3.4, 45 km  from city center ," Cabo de Rama Beach is a beautiful secluded beach located in Margao, South Goa"
Goa,Se Cathedral,3.3, 9 km  from city center ," Se Cathedral, or SÃ© Catedral de Santa Catarina, is one of the largest churches in Asia"
Goa,Cavelossim Beach,3, 38 km  from city center ," With magnificent black rocks that contrast with the white sand shores of this idyllic beach, the Cavelossim Beach is located in South Goa"
Goa,Fort Tiracol,3, 29 km  from city center , Across the Terekhol river from the Querim beach in North Goa lies the majestic Tiracol Fort
Goa,Sunburn Festival,3, 14 km  from city center ," Ranked amongst few of the worldâs best music festivals, Sunburn Music Festival tops the list of every Electronic Music fanâs bucket list"
Goa,Ashwem Beach,3, 20 km  from city center ," Ashwem Beach is one of the few beaches left in Goa that is yet to be discovered by the mainstream tourist crowd of Goa, offering its visitors an endless expanse of pearly white sands complemented well by the beautiful waves of the Arabian Sea"
Goa,Thalassa,3.6, 15 km  from city center , Thalassa- The Greek Taverna is one of the most popular restaurants in Goa
Goa,Divar Island,3.6, 9 km  from city center , Divar Island is a slice of heaven tucked away in dense woods amidst the beauty of nature
Goa,Fontainhas and Sao Tome,3.6, 0 km  from city center , Fontainhas and Sao Tome is a beautiful Latin Quarter located in Panaji on the banks of the Ourem Creek and named after the natural springs nearby
Goa,Brittos,3.6, 11 km  from city center ," Be it during the season or off-season, you cannot NOT come here if you're in Goa"
Goa,Anjuna Flea Market,3.6, 12 km  from city center ," Anjuna Flea Market on Wednesday is a treasure trove of trinkets, handicrafts, hippie clothing, souvenirs and everything else from cheap bags to footwear and junk jewellery"
Goa,Bungee Jumping in Goa,3.6, 56 km  from city center ," Located near one of the most popular beaches in Goa that is obviously Anjuna Beach, the Gravity Adventure Zone conduct Bungee Jumping from a height of 80 ft and has been installed by a US based company- Sports tower Inc"
Goa,Candolim Beach,3.6, 7 km  from city center ," Candolim Beach lies around 15 kms ahead of Panjim, along the stretch of Fort Aguada"
Goa,Betalbatim Beach,3.6, 24 km  from city center ," Located in South Goa between Colva Beach and Majorda Beach, Betalbatim Beach is one of the quieter beaches of Goa"
Goa,Grande Island,3.6, 17 km  from city center ," Originally known as Iha Grande, Grande Island in Goa is one of the most sought after destinations, owing to its serene and tranquil environment and the availability of a plethora of thrilling activities like snorkeling, dolphin spotting, and scuba diving"
Goa,Bhagwan Mahavir Sanctuary,3.6, 53 km  from city center ," Bhagwan Mahavir Sanctuary is a 240 sq km protected natural habitat located in the Western Ghats of India, on the Goa-Karnataka border"
Goa,Arvalem Waterfalls,3.6, 22 km  from city center ," One of the most beautiful spots to visit in North Goa, Arvalem Waterfalls is located in Sanquelim"
Goa,Mollem National Park,3.6, 41 out of 184  places to visit in Goa , Mollem National Park part of the famous Bhagwan Mahavir Wildlife Sanctuary is the biggest national park in Goa that takes you on a fascinating wildlife adventure
