Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price
Hotel Samudra,3.9,Kanyakumari,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Beach access,Kitchen,Airport shuttle,2019
"PARK IRIS HOTELS, Vijayawada",4,Vijayawada,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Full-service laundry,0,0,0,2023
Hotel Gir National Park,3.6,Gir national park,Free Wi-Fi,Pool,Airport shuttle,Parking,Pet-friendly,Breakfast included,Air conditioning,Free Wi-Fi,Fitness center,2028
Hotel The Grand Vinayak,4.3,Gandhinagar,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,Smoke-free,2034
Hotel The Grand Vinayak,4.3,Gandhinagar,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,Smoke-free,2034
Hotel Gold Inn,3.9,Gwalior,Free Wi-Fi,Free parking,Restaurant,Room service,Kitchen,Full-service laundry,Smoke-free,0,0,2034
Hotel City Heart Premium,3.8,Chandigarh,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,2036
Noida Suites,3.7,Noida,Sleeps 5,2 bedrooms,Air conditioning,Elevator,Fireplace,Kitchen,Cable TV,Paid parking,Free Wi-Fi,2036
Super OYO Townhouse 235 Swain Heritage,4.4,Bhubaneswar,Apartment,Sleeps 4,2 bedrooms,Air conditioning,Cable TV,Free Wi-Fi,No airport shuttle,No beach access,No elevator,2044
Treebo Trend Arka Vijayawada,4.5,Vijayawada,Free breakfast,Free Wi-Fi,Paid parking,Pool,Room service,Kitchen,Full-service laundry,Business center,0,2044
OJAS HOTEL & RESORT,4.4,Durgapur,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,Full-service laundry,2046
Hotel ASTOR,4.5,Durgapur,Free breakfast,Free Wi-Fi,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,0,2047
Hotel Manali,4.3,Manali,Restaurant,Airport shuttle,Breakfast included,Pet-friendly,Breakfast included,Free Wi-Fi,Air conditioning,Restaurant,Air conditioning,2059
PANCHAVATI ELITE INN,3.6,Nashik,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,2071
The Deep Hotel,4,Kanpur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,0,2072
Niko Hotels,4.6,Kochi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Accessible,2073
Hotel Yamuna palace,3.6,Hazaribagh,Free Wi-Fi,Paid parking,Air conditioning,Kitchen,Full-service laundry,0,0,0,0,2079
Taj Studios Private Luxury Studio Apartment Central Noida,2.9,Noida,Sleeps 2,1 bedroom,Air conditioning,Elevator,Fireplace,Kitchen,Cable TV,Paid parking,Free Wi-Fi,2081
Treebo Trend Kuval Inn,4.2,Pune,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Full-service laundry,Kid-friendly,0,0,2084
Bhagwant Villa - A terrace view,4.4,Dehradun,Sleeps 4,1 bedroom,Fireplace,Paid parking,No air conditioning,No crib,No elevator,No fitness center,No ironing board,2090
Hotel Hyphen Premier,4.2,Meerut,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,2094
Tribecca Select,4.3,Ahmedabad,3-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,2097
Taj Palace Houseboat || Kashmir Glory Travels,4.1,Kashmir,Free breakfast,Free Wi-Fi,Kitchen,Full-service laundry,Kid-friendly,0,0,0,0,2097
Octave Parkland Suites,4.3,Nagpur,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Room service,Kitchen,Full-service laundry,0,2099
Colonels Retreat,4.8,Kashmir,Sleeps 4,2 bedrooms,Air conditioning,Airport shuttle,Smoke-free,Free parking,Free Wi-Fi,No beach access,No elevator,2100
New Continental Park Hotel,3.9,Vijayawada,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,2100
Luit Vista Guest House (A boutique Heritage property),4.3,Guwahati,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Kid-friendly,Smoke-free,2106
Royal Tusker Luxury Service Apartments,4.9,Mysore,Free Wi-Fi,Free parking,Air conditioning,Spa,Breakfast,Kitchen,Airport shuttle,Full-service laundry,Accessible,2107
DCorbiz Hotel & Restaurant,4,Lucknow,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,2108
The South Gate By WB Hotels,3.9,Trivandrum,Free breakfast,Free Wi-Fi,Air conditioning,Room service,Full-service laundry,Kid-friendly,0,0,0,2111
The Moziac Hotel,4,Gwalior,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Spa,Restaurant,Room service,Kitchen,Full-service laundry,2116
THE PRABHA INTERNATIONAL HOTEL & CATERERS,4,Gwalior,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2116
Hotel Corporate Stay,4,Pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,2123
Hotel The Grand Palace,4.1,Ghaziabad,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,Room service,2131
Hotel The Grand Palace,4.1,Ghaziabad,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,Room service,2132
Treebo Trend Pal Comfort - Hotel in Jamshedpur,4.2,Jamshedpur,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,2142
THE PRABHA INTERNATIONAL HOTEL & CATERERS,4,Gwalior,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2158
The Cennet Ranchi,4.4,Ranchi,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,2160
SS BeachResort,4,Varkala,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Restaurant,Room service,2160
Villa Sentosa,4.1,Pondicherry,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0,2168
Hotel Rajpur Heights,4,Dehradun,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2169
Hotel Krishna Sagar NH 24,3.7,Ghaziabad,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,2170
"HOTEL VIJAY PARK INN, RAMNAGAR, COIMBATORE, TAMILNADU",4.1,Coimbatore,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,2177
Comfort Inn Donil,3.8,Vadodara,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Restaurant,2179
The Damodar Retreat,4.6,Durgapur,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly,2183
7 Wonders Hotel & Restaurant,4.1,Gandhinagar,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,2190
Hotel Ambience,3.9,Gwalior,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,2191
Hotel Ambience,3.9,Gwalior,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,2191
Sparsa Kanyakumari,3.8,Kanyakumari,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,2192
Livaana (Formerly known as Vivaana),3.8,Mysore,Breakfast,Free Wi-Fi,Free parking,Pool,Bar,Restaurant,Room service,Kitchen,Airport shuttle,2193
Hotel President Inn,3.8,Gandhinagar,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Full-service laundry,Smoke-free,2194
Tulips Homestay | Studio Rooms & Wi-Fi,4.3,Mysore,Sleeps 6,2 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,2195
Raghunandan Resort,4.2,Nashik,0,0,0,0,0,0,0,0,0,2195
Hotel Grand Ecotel,4.2,Aurangabad,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,2204
Treebo Trend Archie Regency,4,Ranchi,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,2205
Hotel Tri Sea,4.1,Kanyakumari,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Room service,2215
Itsy by Treebo - Oasis Pride,4,Nashik,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Full-service laundry,Accessible,Kid-friendly,2217
Hotel Golden Orchid,4,Lucknow,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,2218
Hotel Gouri Inn,3.9,Amravati,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,2225
Hotel Royal Park 22,4.3,Chandigarh,3-star hotel,Free Wi-Fi,Air conditioning,Pet-friendly,Restaurant,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,2231
Treebo Trend C Plaza - MG Road Vijayawada,4.3,Vijayawada,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,2235
"Luxury Stay in Mall with PVR, Shopper Stop, Lifestyle, Food Court With All Brands",2.6,Ghaziabad,Sleeps 2,1 bedroom,Air conditioning,Elevator,Fireplace,Kitchen,Paid parking,Free Wi-Fi,No crib,2237
JMC HOTEL S GRANDE INDORE,4.6,Indore,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Kitchen,2239
Hotel Heraa International - The Heraa Inn,4.6,Mangalore,0,0,0,0,0,0,0,0,0,2239
HOTEL HILL CITY,4.4,Gandhinagar,Free Wi-Fi,Paid parking,Air conditioning,Room service,Airport shuttle,Full-service laundry,0,0,0,2240
Hotel Om Inn,4.9,Gandhinagar,0,0,0,0,0,0,0,0,0,2240
Hotel Om Inn,4.9,Gandhinagar,0,0,0,0,0,0,0,0,0,2240
The Gopinivas Grand,4.5,Kanyakumari,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Beach access,Restaurant,Room service,Full-service laundry,2240
7 Apple Hotel - Aurangabad,4,Aurangabad,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,Accessible,Kid-friendly,2244
Morvee Hotels Durgapur,4.4,Durgapur,Free breakfast,Free Wi-Fi,Paid parking,Spa,Restaurant,Room service,Kitchen,Airport shuttle,Full-service laundry,2245
Morvee Hotels Durgapur,4.4,Durgapur,Free breakfast,Free Wi-Fi,Paid parking,Spa,Restaurant,Room service,Kitchen,Airport shuttle,Full-service laundry,2245
Hotel Sapphire Opposite Golden Temple,4.1,Amritsar,3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2246
Hotel Royal Park,3.6,Ghaziabad,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,2258
Prince Park Farm House,3.9,Pondicherry,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,2258
Hotel Solaris,4,Indore,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,2259
Hotel Grand Residency,4,Jamshedpur,Free breakfast,Free Wi-Fi,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,0,2281
The Onyx Hotel - Hotel in Jamshedpur,4.3,Jamshedpur,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,2284
Mango Tree Courtyard,4.7,Dehradun,Free breakfast,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly,0,2285
Hotel Samrat Heavens,3.6,Meerut,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Bar,Restaurant,Room service,2289
Hotel Taj Residency,3.8,Kashmir,Free breakfast,Free Wi-Fi,Paid parking,Restaurant,Room service,Kitchen,Full-service laundry,0,0,2290
Hotel Samrat Heavens,3.6,Meerut,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Bar,Restaurant,Room service,2298
"RSVP NAGPUR(Restro-bar,Rooftop & Rooms)",4,Nagpur,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Full-service laundry,0,0,2300
Treebo Trend Winsome Banquet And Resort,4.6,Ranchi,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,Business center,2304
Treebo Trend Winsome Banquet And Resort,4.6,Ranchi,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,Business center,2304
Amritsar Grand Hotel By Levelup Hotels,4.8,Amritsar,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service,Airport shuttle,2306
Hotel Pachmarhi,4.8,Pachmarhi,Pool,Pool,Restaurant,Pet-friendly,Free Wi-Fi,Airport shuttle,Airport shuttle,Fitness center,Room service,2306
BR Grand Amritsar,4.4,Amritsar,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,0,2326
Lavit Hotel,4.2,Faridabad,0,0,0,0,0,0,0,0,0,2329
Hotel Siddharth inn,3.9,Gandhinagar,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,2333
Taj Studios - Luxury Stay in Gaur City Mall (1st time in Greate Noida West),3.1,Ghaziabad,Sleeps 3,1 bedroom,Air conditioning,Elevator,Fireplace,Kitchen,Cable TV,Paid parking,Free Wi-Fi,2335
Red Orchid Hotel Kanpur,4.3,Kanpur,Free breakfast,Free Wi-Fi,Paid parking,Bar,Restaurant,Room service,Kitchen,Full-service laundry,0,2335
Hotel Ocean Heritage,4,Kanyakumari,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Beach access,Restaurant,Room service,Airport shuttle,Full-service laundry,2335
Hotel Panorama,4.4,Matheran,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,Kitchen,2341
La Grrande Malar - The Boutique Hotel Pondicherry,4.4,Pondicherry,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,0,2344
Hotel Singaar International,3.5,Kanyakumari,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,2350
Regenta Inn Vadodara,4,Vadodara,3-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Fitness center,Spa,Restaurant,Room service,2352
Airport Guest House Guwahati,4,Guwahati,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,2354
Radhika Ex,3.9,Aurangabad,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Kitchen,Kid-friendly,Smoke-free,0,2357
Hotel Shubham Palace - Karmanghat,4.3,Hyderabad,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,2371
Treebo Trend Noida Grand,4,Noida,Free breakfast,Free Wi-Fi,Paid parking,Restaurant,Room service,Kitchen,Full-service laundry,Business center,0,2371
Treebo Trend House Inn - Hotel in Noida,3.7,Noida,3-star hotel,Free breakfast,Wi-Fi,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Business center,2378
Hotel Maitrayee,4.6,Nagpur,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,2384
Tulips Homestay Mysore,4.4,Mysore,Sleeps 4,Airport shuttle,Cable TV,Wheelchair accessible,Free parking,Free Wi-Fi,No air conditioning,No beach access,No elevator,2387
Park prime hotel,3.9,Durgapur,3-star hotel,Free breakfast,Free Wi-Fi,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,2388
Status club business Hotel,3.9,Kanpur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,2395
Hotel Parkview,4,Chandigarh,0,0,0,0,0,0,0,0,0,2398
Hotel Casa Vadodara (Treebo Trend Casa),3.9,Vadodara,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2400
Ariya Nivaas - A Vegetarian Hotel,4.2,Trivandrum,2-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,Accessible,Kid-friendly,2401
Hotel Mayura Hoysala Mysuru,4.1,Mysore,3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Breakfast,Bar,Restaurant,Room service,Airport shuttle,2419
Advantage Inn,4.6,Allahabad,Free breakfast,Free Wi-Fi,Free parking,Pool,Room service,Full-service laundry,Smoke-free,0,0,2423
The Roseman Hotel & Suites,4.3,Ghaziabad,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,2426
"FabHotel Accord - Hotel in Ranchi Railway Station, Ranchi",4.6,Ranchi,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Paid parking,Restaurant,Room service,Kid-friendly,0,2426
The Amaya Inn,4,Noida,Free breakfast,Free Wi-Fi,Paid parking,Restaurant,Room service,Kitchen,Full-service laundry,0,0,2427
Poovar Island Resort,4.3,Poovar,,Free breakfast,Free Wifi,Spa,Free parking,Kid-friendly,,Pool,0,2430
Hotel Pawan Putra,4.1,Kolkata,3-star hotel,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Paid parking,Restaurant,Full-service laundry,0,2436
Hotel Bodhi Tree - Best Hotel in Patna | Hotels Near Patna junction Railway Station and Patna airport,4.1,Patna,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,2438
The AVR Hotel,4.1,Patna,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,2438
Treebo Trend Lalaji'S Executive,3.9,Aurangabad,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,2444
Treebo Trend Admiral Suites,3.5,Aurangabad,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Room service,Kitchen,Full-service laundry,0,0,2451
Itsy By Treebo - Corner stay,3.8,Coimbatore,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Room service,Kitchen,Full-service laundry,Kid-friendly,2453
The Grand Radiant-3 Star Hotel in Lucknow,4,Lucknow,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,2453
HolidayVilla Amritsar,4.9,Amritsar,4-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Room service,Kitchen,Full-service laundry,0,0,2455
Ginger Vadodara,3.9,Vadodara,3-star hotel,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Breakfast,Full-service laundry,Kid-friendly,0,2462
Bharat Guest House by Golden Plate,4.2,Ghaziabad,0,0,0,0,0,0,0,0,0,2464
Hotel Paramount Suites & Service Apartments (Mangalore),4.5,Mangalore,Free Wi-Fi,Free parking,Pool,Air conditioning,Room service,Kitchen,Full-service laundry,Business center,0,2464
Casa Seaesta Beach Cottages and Suites,3.6,Goa,Sleeps 6,2 bedrooms,Air conditioning,Airport shuttle,Pool,Smoke-free,Free parking,Free Wi-Fi,No beach access,2466
Hotel Prayag Inn,3.9,Allahabad,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,2470
Hotel Gulmor - Hotel in Ludhiana,4,Ludhiana,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,2472
The Citi Residenci Hotel,4.2,Durgapur,Free breakfast,Free Wi-Fi,Free parking,Pool,Fitness center,Spa,Bar,Restaurant,Room service,2473
Hotel Kanha National Park,4.2,kanha national park,Fitness center,Parking,Air conditioning,Spa,Air conditioning,Pet-friendly,Spa,Air conditioning,Free Wi-Fi,2484
"Serenity Bangla, Amritsar",4.2,Amritsar,Sleeps 4,1 bedroom,Air conditioning,Fireplace,Kitchen,Free parking,Free Wi-Fi,No crib,No elevator,2485
Mango Hotels Vybrant,4.1,Vijayawada,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,2486
Hyphen Business Hotels,3.8,Noida,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,2487
Treebo Trend Seven Suites,3.5,Nagpur,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Paid parking,Room service,Kitchen,Full-service laundry,Kid-friendly,2488
The Grand Alora | Best Family Restaurent in Meerut,4.7,Meerut,0,0,0,0,0,0,0,0,0,2492
Hotel Udaipur,4.6,Udaipur,Spa,Pool,Pet-friendly,Airport shuttle,Full-service laundry,Airport shuttle,Pet-friendly,Spa,Accessible,2495
Chetinaad Courtyard,4.1,Coimbatore,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,2500
iStay - Hotels in Coimbatore,4.3,Coimbatore,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,2502
Jardin Hotels,4.2,Indore,Free breakfast,Free Wi-Fi,Free parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,Accessible,2508
KTDC Grand Chaithram,4.1,Trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,2509
The Shelter Heritage A Boutique Hotel,4.5,Srinagar,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Golf,Full-service laundry,2510
"StayBird - B Suite, Business Hotel",4,Pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,2512
Hotel J P International,3.7,Aurangabad,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2513
Taramati Baradari Resort,4.2,Hyderabad,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,2520
Maison Petite Singapore,3.9,Pondicherry,House,Sleeps 10,5 bedrooms,5 bathrooms,Air conditioning,Smoke-free,Free parking,Free Wi-Fi,No airport shuttle,2521
Hotel Vandu International,4,Amravati,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,2526
Hotel Bhandara Park,4,Hazaribagh,Free Wi-Fi,Kitchen,Full-service laundry,0,0,0,0,0,0,2527
Natures Blessing,4.9,Chandigarh,Sleeps 7,3 bedrooms,Air conditioning,Elevator,Fireplace,Kitchen,Paid parking,Free Wi-Fi,No crib,2528
Hotel Satkar,4.8,Varanasi,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,0,2528
Hotel Mayura Hoysala Mysuru,4.1,Mysore,3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Breakfast,Bar,Restaurant,Room service,Airport shuttle,2531
Amara Hotel,4.1,Chandigarh,3-star hotel,Free breakfast,Wi-Fi,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,2533
The Taj Studios .Com,4,Noida,0,0,0,0,0,0,0,0,0,2535
Citrus Prime Raipur,4.2,Raipur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,2544
JM Four Hotel,3.9,Pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2550
Hotel Bhagyaraj Palace -Best Hotel In Kanpur,4.2,Kanpur,Free Wi-Fi,Paid parking,Restaurant,Room service,Kitchen,Full-service laundry,0,0,0,2560
Hotel Aranya Vihar,4.2,Hazaribagh,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,Full-service laundry,2563
Club Paraiso,4.3,Raipur,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,2564
The Manor Hotel,3.9,Aurangabad,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,2566
Hotel Centella,4.1,Gwalior,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Smoke-free,0,2567
Treebo Trend Grand Euro,4.7,Indore,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Business center,Kid-friendly,2570
Treebo Trend Umal Homestay,4.5,Guwahati,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,2572
Aurangabad Gymkhana Club Hotel,4.1,Aurangabad,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,2573
The Citi Residenci Hotel,4.2,Durgapur,Free breakfast,Free Wi-Fi,Free parking,Pool,Fitness center,Spa,Bar,Restaurant,Room service,2576
RESTEL STUDIO FLATS,4.2,Hyderabad,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,Airport shuttle,2576
THE VILLAGE,3,Varkala,Sleeps 24,7 bedrooms,Air conditioning,Fireplace,Kitchen,Paid parking,Free Wi-Fi,No crib,No elevator,2576
Kapoor's Homestay Chandigarh,3.2,Chandigarh,Sleeps 5,2 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,2580
Grand Plaza Hotel,3.9,Mangalore,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Room service,Airport shuttle,Kid-friendly,0,2580
"Tulip Arena | Hotel, Club & Events by SGL |",4.6,Raipur,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,Kitchen,2586
